Order ID,Order Date,Ship Date,Ship Mode,Segment,City,State,Region,Product ID,Category,Sub-Category,Sales,Quantity,Discount,Profit,Delivery Time,Profit Margin,Total Discount Effect
CA-2016-152156,2016-11-08,2016-11-11,Second Class,Consumer,Henderson,Kentucky,South,FUR-BO-10001798,Furniture,Bookcases,261.96,2,0.0,41.9136,3,0.16000000000000003,0.0
CA-2016-152156,2016-11-08,2016-11-11,Second Class,Consumer,Henderson,Kentucky,South,FUR-CH-10000454,Furniture,Chairs,731.94,3,0.0,219.582,3,0.3,0.0
CA-2016-138688,2016-06-12,2016-06-16,Second Class,Corporate,Los Angeles,California,West,OFF-LA-10000240,Office Supplies,Labels,14.62,2,0.0,6.8714,4,0.47000000000000003,0.0
US-2015-108966,2015-10-11,2015-10-18,Standard Class,Consumer,Fort Lauderdale,Florida,South,FUR-TA-10000577,Furniture,Tables,957.5775,5,0.45,-319.264953,7,-0.33340899613869374,2.25
US-2015-108966,2015-10-11,2015-10-18,Standard Class,Consumer,Fort Lauderdale,Florida,South,OFF-ST-10000760,Office Supplies,Storage,22.368,2,0.2,2.5164,7,0.1125,0.4
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,Consumer,Los Angeles,California,West,FUR-FU-10001487,Furniture,Furnishings,48.86,7,0.0,14.1694,5,0.29,0.0
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,Consumer,Los Angeles,California,West,OFF-AR-10002833,Office Supplies,Art,7.28,4,0.0,1.9656,5,0.27,0.0
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,Consumer,Los Angeles,California,West,TEC-PH-10002275,Technology,Phones,907.152,6,0.2,90.7152,5,0.09999999999999999,1.2000000000000002
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,Consumer,Los Angeles,California,West,OFF-BI-10003910,Office Supplies,Binders,18.504,3,0.2,5.7825,5,0.31249999999999994,0.6000000000000001
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,Consumer,Los Angeles,California,West,OFF-AP-10002892,Office Supplies,Appliances,114.9,5,0.0,34.47,5,0.3,0.0
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,Consumer,Los Angeles,California,West,FUR-TA-10001539,Furniture,Tables,1706.184,9,0.2,85.3092,5,0.05,1.8
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,Consumer,Los Angeles,California,West,TEC-PH-10002033,Technology,Phones,911.424,4,0.2,68.3568,5,0.07500000000000001,0.8
CA-2017-114412,2017-04-15,2017-04-20,Standard Class,Consumer,Concord,North Carolina,South,OFF-PA-10002365,Office Supplies,Paper,15.552,3,0.2,5.4432,5,0.35000000000000003,0.6000000000000001
CA-2016-161389,2016-12-05,2016-12-10,Standard Class,Consumer,Seattle,Washington,West,OFF-BI-10003656,Office Supplies,Binders,407.976,3,0.2,132.5922,5,0.32499999999999996,0.6000000000000001
US-2015-118983,2015-11-22,2015-11-26,Standard Class,Home Office,Fort Worth,Texas,Central,OFF-AP-10002311,Office Supplies,Appliances,68.81,5,0.8,-123.858,4,-1.8,4.0
US-2015-118983,2015-11-22,2015-11-26,Standard Class,Home Office,Fort Worth,Texas,Central,OFF-BI-10000756,Office Supplies,Binders,2.544,3,0.8,-3.816,4,-1.5,2.4000000000000004
CA-2014-105893,2014-11-11,2014-11-18,Standard Class,Consumer,Madison,Wisconsin,Central,OFF-ST-10004186,Office Supplies,Storage,665.88,6,0.0,13.3176,7,0.02,0.0
CA-2014-167164,2014-05-13,2014-05-15,Second Class,Consumer,West Jordan,Utah,West,OFF-ST-10000107,Office Supplies,Storage,55.5,2,0.0,9.99,2,0.18,0.0
CA-2014-143336,2014-08-27,2014-09-01,Second Class,Consumer,San Francisco,California,West,OFF-AR-10003056,Office Supplies,Art,8.56,2,0.0,2.4824,5,0.29,0.0
CA-2014-143336,2014-08-27,2014-09-01,Second Class,Consumer,San Francisco,California,West,TEC-PH-10001949,Technology,Phones,213.48,3,0.2,16.011,5,0.075,0.6000000000000001
